date,ticker,sentiment_score,positive_prob,negative_prob,neutral_prob,article_count,positive_count,negative_count,neutral_count,sentiment_std
2015-01-01,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,SPY,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-01,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,SPY,-0.2701,0.0485,0.3186,0.6329,3,0,1,2,0.3817
2015-01-02,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,XLF,-0.0821,0.0182,0.1003,0.8815,1,0,0,1,0.0
2015-01-02,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-02,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,SPY,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,XLE,-0.0312,0.0391,0.0703,0.8905,1,0,0,1,0.0
2015-01-05,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-05,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,GLD,0.5588,0.5977,0.0389,0.3633,1,1,0,0,0.0
2015-01-06,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,QQQ,-0.0432,0.0246,0.0677,0.9077,1,0,0,1,0.0
2015-01-06,SPY,-0.4529,0.0391,0.492,0.4689,4,0,2,2,0.37
2015-01-06,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,XLE,-0.0906,0.0176,0.1082,0.8742,1,0,0,1,0.0
2015-01-06,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-06,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,GLD,0.5918,0.725,0.1332,0.1419,1,1,0,0,0.0
2015-01-07,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,SPY,0.152,0.3423,0.1903,0.4675,10,3,1,6,0.5328
2015-01-07,TLT,-0.8205,0.0465,0.8669,0.0866,1,0,1,0,0.0
2015-01-07,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-07,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,SPY,0.5764,0.6137,0.0373,0.349,1,1,0,0,0.0
2015-01-08,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2015-01-08,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
